artist_id,image_url,description,tags,created_at,shape,style,color,texture,theme,decorations
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-10.jpg,,,2025-06-07T06:47:39.865Z,方圓形（Squoval）,漸層,紅色,光澤（Glossy）,,
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-1.jpg,,,2025-06-07T06:47:39.866Z,橢圓形（Oval）,跳色,"藍色, 白色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",優雅,金屬飾片（Metal pieces）
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-2.jpg,,,2025-06-07T06:47:39.866Z,尖形（Stiletto）,單色,紅色,光澤（Glossy）,優雅,"水鑽（Rhinestone）, 金屬飾片（Metal pieces）"
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-3.jpg,,,2025-06-07T06:47:39.866Z,尖形（Stiletto）,單色,紅色,光澤（Glossy）,"優雅, 日系","水鑽（Rhinestone）, 金屬飾片（Metal pieces）"
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-4.jpg,,,2025-06-07T06:47:39.866Z,橢圓形（Oval）,跳色,"黑色, 白色, 裸粉色",光澤（Glossy）,優雅,金屬飾片（Metal pieces）
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-5.jpg,,,2025-06-07T06:47:39.866Z,橢圓形（Oval）,"跳色, 手繪","裸粉色, 灰色",光澤（Glossy）,優雅,"貼紙（Sticker）, 水鑽（Rhinestone）"
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-6.jpg,,,2025-06-07T06:47:39.866Z,圓形（Round）,"跳色, 貓眼","黃色, 綠色, 藍色, 紫色, 粉色",光澤（Glossy）,繽紛,
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-7.jpg,,,2025-06-07T06:47:39.866Z,方圓形（Squoval）,手繪,"裸粉色, 白色, 金屬銀",光澤（Glossy）,優雅,"貼紙（Sticker）, 金屬箔（Foil）"
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-8.jpg,,,2025-06-07T06:47:39.866Z,圓形（Round）,"跳色, 手繪","白色, 黑色, 裸粉色",光澤（Glossy）,"簡約, 可愛",
b64c1bad-563a-4b4e-9b3f-617468d767da,https://uvzjbmxxrkrnmckrifqs.supabase.co/storage/v1/object/public/nailimg/allimgs/photo_placeid-ChIJ4VO6Q5xrbzQRPQajR6qDUqg_idx-9.jpg,,,2025-06-07T06:47:39.866Z,方圓形（Squoval）,跳色,裸粉色,"光澤（Glossy）, 亮片（Glitter）","簡約, 優雅",
